particle_id,trajectory_id,lag_s,msd_um2,count
1,1,0.02436713360355445,0.0,5
1,1,0.025956163514148266,0.0,12
1,1,0.02941278499766765,0.0,20
1,1,0.03241913953761016,0.0,24
1,1,0.035832732755488476,0.0,24
1,1,0.03915634752301659,0.0,19
1,1,0.04277809283799006,0.0,6
1,1,0.04654746301099244,0.0,1
1,1,0.05522359931634294,0.0,3
1,1,0.061124724510104214,0.0,27
1,1,0.06655034209101542,0.0,52
1,1,0.07288709360171601,0.0,27
1,1,0.0780274265381542,0.0,2
1,1,0.09270856483324415,0.0,21
1,1,0.1000765336060096,0.0,70
1,1,0.10794862015252893,0.0,19
1,1,0.12709619005294343,0.0,29
1,1,0.1353327998960708,0.0,78
1,1,0.15565938577479937,0.0,13
1,1,0.16741853626583708,0.0,94
1,1,0.1918549777171084,0.0,33
1,1,0.20282362995443007,0.0,78
1,1,0.23270018242028212,0.0,98
1,1,0.2605781870016276,0.0,66
1,1,0.27899615937237365,0.0,70
1,1,0.30620111120819204,0.0,98
1,1,0.3411661040633541,0.0,114
1,1,0.38257767834574785,0.0,141
1,1,0.4264050064170905,0.0,134
1,1,0.47015897685196795,0.0,114
1,1,0.518817457313406,0.0,180
1,1,0.5825057316703599,0.0,183
1,1,0.6464885909188823,0.0,182
1,1,0.7141170926860256,0.0,196
1,1,0.7857380440277696,0.0,189
1,1,0.868325086385908,0.0,251
1,1,0.9667894351197589,0.0,252
1,1,1.0684543433019098,0.0,249
1,1,1.184712544977638,0.0,307
1,1,1.3168310902469242,0.0,299
1,1,1.4578350113650749,0.0,318
1,1,1.6140825950312732,0.0,330
1,1,1.7886254256261915,0.0,342
1,1,1.9816329452914274,0.0,333
1,1,2.197531963195704,0.0,343
1,1,2.436304280614646,0.0,307
1,1,2.7006247886227603,0.0,303
1,1,2.9916082940316735,0.0,245
1,1,3.302402981217633,0.0,175
1,1,3.624323132883434,0.0,78
2,2,0.02213372585828714,0.0,3
2,2,0.02467493587078943,0.0,20
2,2,0.02809912086023422,0.0,42
2,2,0.03185021925490158,0.0,62
2,2,0.03534155056039628,0.0,59
2,2,0.03963644756033766,0.0,41
2,2,0.044013899613430475,0.0,14
2,2,0.053972731305488963,0.0,1
2,2,0.05838564208088307,0.0,38
2,2,0.0652858031350846,0.0,124
2,2,0.07242984996820297,0.0,73
2,2,0.07963967377532978,0.0,6
2,2,0.09506148308920469,0.0,107
2,2,0.1037060630762355,0.0,130
2,2,0.12290149930505057,0.0,32
2,2,0.13390471181983502,0.0,194
2,2,0.1531988830445127,0.0,48
2,2,0.16819222335388348,0.0,205
2,2,0.19688838475154316,0.0,164
2,2,0.21584582270788044,0.0,134
2,2,0.23857325426329606,0.0,199
2,2,0.27000386532350706,0.0,234
2,2,0.3066727279543226,0.0,271
